CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U35106DL2024PTC426952,OCIOR ENERGY GOPALPUR TWO PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,100000,2/17/2024,"26/36, Basement,,East Patel Nagar,,New Delhi,Central Delhi,Delhi,110008-India",Unlisted,Active,delhi,Indian,35106,"Electricity, Gas and Water companies"
U35106DL2024PTC427816,PRATAPATI ENERGY (SEVEN) PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000,1000000,3/5/2024,"D-2, First Floor,,Southern Park Building,New Delhi,South Delhi,Delhi,110017-India",Unlisted,Active,delhi,Indian,35106,"Electricity, Gas and Water companies"
U35106DL2024PTC432422,CLEAN RENEWABLE ENERGY GJ 1B PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,6/6/2024,"Plot No. 201, Ground Floor,Okhla Industrial Estate, Phase-III,New Delhi,South Delhi,Delhi,110020-India",Unlisted,Active,delhi,Indian,35106,"Electricity, Gas and Water companies"
U35106DL2024PTC434152,HEXA ENERGY BH1 PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,200000,7/15/2024,"103, H-3, Vardhman Plaza,Netaji Subhash Place,Delhi,North West Delhi,Delhi,110034-India",Unlisted,Active,delhi,Indian,35106,"Electricity, Gas and Water companies"
U35106DL2024PTC439741,GSENC SOLAR 3 PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1000000,1000000,12/11/2024,"3rd Floor, Office No. 303, Utkarsh Tower,,32, Vijay block, Laxmi Nagar,,East Delhi,East Delhi,Delhi,110092-India",Unlisted,Active,delhi,Indian,35106,"Electricity, Gas and Water companies"
U35106DL2024PTC440589,NINTH SOLAR INFRA MH SIX PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,10000,12/31/2024,"217 B ,Lalita Dolls Okhla,Industrial Area Phase-3,New Delhi,South Delhi,Delhi,110020-India",Unlisted,Active,delhi,Indian,35106,"Electricity, Gas and Water companies"
U35106DL2025PTC443404,AUSTROIND INTERNATIONAL ENERGY MANAGEMANT PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,2/26/2025,"FF-04 PEARLS OMAXE POWER,NETAJI SUBHASH PLACE,Delhi,North West Delhi,Delhi,110034-India",Unlisted,Active,delhi,Indian,35106,"Electricity, Gas and Water companies"
U35109DL2023PTC422579,INDRAPRASTHA SMART GRID PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,100000,11/10/2023,"PRIUS PLATINUM, WING A,4TH FLOOR,D3 P3B, SAKET DISTRICT CENTRE,New Delhi,South Delhi,Delhi,110017-India",Unlisted,Active,delhi,Indian,35109,"Electricity, Gas and Water companies"
U35109DL2025PTC443247,GSC PSP POORAV PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,1500000,100000,2/24/2025,"B-1/E-24 MCIE,,Mathura Road,,New Delhi,South Delhi,Delhi,110044-India",Unlisted,Active,delhi,Indian,35109,"Electricity, Gas and Water companies"
U35109DL2025PTC444228,ATEN AURORA INTERNATIONAL PRIVATE LIMITED,ROC Delhi,Company limited by shares,Non-government company,Private,100000,100000,3/7/2025,"PLOT-535, F/F,KAKOROLA HOUSING CMPLX,New Delhi,South West Delhi,Delhi,110078-India",Unlisted,Active,delhi,Indian,35109,"Electricity, Gas and Water companies"
