CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U67200GJ2023PTC138355,ZUORA FINTECH PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,1/11/2023,"508, 5th Floor, Shalin Centrum,   Sector-11,Gandhinagar,Gandhinagar,Gujarat,382010-India",Unlisted,Active,gujarat,Indian,67200,Finance
U68100GJ2017PTC099969,HARDIP DEVELOPERS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,11/30/2017,"D B Z SOUTH 132   MAIN BAZAR,GANDHIDHAM,Kachchh,Gujarat,370201-India",Unlisted,Active,gujarat,Indian,68100,Real Estate and Renting
U68100GJ2023PTC140562,AGHARA INFRA PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/26/2023,"A-401, AVAL-AMRAT AVENUE,RAJPUR-HIRPUR,KANKARIA,Ahmadabad City,Ahmedabad,Gujarat,380002-India",Unlisted,Active,gujarat,Indian,68100,Real Estate and Renting
U68100GJ2024PLC154697,KARATAL PEDESTAL LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Public,100000,100000,8/28/2024,"AdaniCorporateHouse,ShantigramNearVaishnoDevi,Daskroi,Ahmedabad,Gujarat,382421-India",Unlisted,Active,gujarat,Indian,68100,Real Estate and Renting
U68100GJ2024PTC156997,RUDANI ASSOCIATE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,12/12/2024,"30/A, Rudani Hospital,,Lotus Colony,,Bhuj,Kachchh,Gujarat,370001-India",Unlisted,Active,gujarat,Indian,68100,Real Estate and Renting
U68100GJ2025PTC161240,TRUSTCORE ASSET PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/8/2025,"P 102 SEC 8 FF 05,Gandhidham,Kachchh,Gujarat,370201-India",Unlisted,Active,gujarat,Indian,68100,Real Estate and Renting
U68100GJ2025PTC161523,PADMAPRABHU INFRAPLAN PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/15/2025,"50,Harshiddh Chambers,3rd,Floor,Ashram Road,Ahmadabad City,Ahmedabad,Gujarat,380014-India",Unlisted,Active,gujarat,Indian,68100,Real Estate and Renting
U68200GJ2023PTC139856,JASHRAJ BUILDCON PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/6/2023,"C.S. NO. 2275, PROPERTY NO. 2490,NAVRANG SOCIETY,Nadiad,Kheda,Gujarat,387370-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2023PTC139861,LABH INFRATECH PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,4/6/2023,"Bunglows-5 Labh Nirant,,Beside Swara Homes,,Gandhinagar,Gandhi Nagar,Gujarat,382006-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2023PTC142483,BECHRAJI LANDS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,6/30/2023,"12, CHARANKRUPA SOC - 2,,SHIVRANJANI CIRCLE,,Ahmadabad City,Ahmedabad,Gujarat,380015-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2023PTC142961,PRABHUMANI INFRASTRUCTURE PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,7/17/2023,"22-Greenwoods Cove,B/H FGI-Khanpur,Vadodara,Vadodara,Gujarat,391101-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
U68200GJ2024PTC152854,PRINCELEO DEVELOPERS PRIVATE LIMITED,ROC Ahmedabad,Company limited by shares,Non-government company,Private,100000,100000,6/25/2024,"Off No. 507, Akshat Tower,Nr. Pakvan Restaurant,Ahmadabad City,Ahmedabad,Gujarat,380054-India",Unlisted,Active,gujarat,Indian,68200,Real Estate and Renting
