CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U29253KA2009PTC051108,XTRA - POWER TECHNOLOGIES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,2500000,1650000,10/6/2009,"NO. 38, N R ROAD,BANGALORE,Karnataka,560002-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2010PTC052077,RBT ENGINEERING WORKS INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,1000000,1/5/2010,"SHANTINIKETHAN NAGAR   NEAR POLICE STATION POST,MAHALINGAPUR,Bagalkot,Karnataka,587312-India",Unlisted,Strike Off,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2010PTC054610,AEROCOMP PRECISION ENGINEERING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,500000,400000,7/29/2010,"1st Floor, Pine Valley, Embassy Golf-Links   Business Park, Off Intermediate Ring Roa,d, Domlur,Bangalore,Karnataka,560071-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2010PTC055200,PREFECT HYDRAULICS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,50000000,42000000,9/17/2010,"RCC Roofed, No. 90 1st Cross Bloom Field Garden   Ramachandrapura Village Yelhanka Hobli,Bangalore,Karnataka,560097-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2011PTC057729,BLUM NOVOTEST MEASURING AND TESTING TECHNOLOGY PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,28000000,27444470,3/21/2011,"No. 6, II FLOOR, I MAIN ROAD, WIDIA LAYOUT,   ATTIGUPPE,BANGALORE,Karnataka,560040-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2011PTC060667,REP MACHINES MANUFACTURING PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,20000000,6335860,10/4/2011,"Plot No. 112, 4th Road,JiganiIndustrial Area,   2nd Phase Anekal, Taluk,Bangalore,Bangalore,Karnataka,562106-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2012FTC064809,ENERPAC INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,subsidiary of company incorporated outside India,Private,502500000,406055220,7/11/2012,"Municipal No 10 (Originally Old No 218,)   (Later No10 and 10/1)Bellary Road, Sadas,hivanagar,Bangalore,Karnataka,560080-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2012PTC063952,AMIGO VENDING MACHINES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,5/11/2012,"#393,4TH CROSS,TALAKAVERI LAYOUT,   AMRUTHALLI,BANGALORE,Karnataka,560092-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2012PTC065526,SWATHI MATERIAL HANDLING EQUIPMENTS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,8/24/2012,"No. 409, ADIGA BUILDING, 3RD CROSS   WILSON GARDEN,,BANGALORE,Bangalore,Karnataka,560027-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
U29253KA2012PTC065569,SNSKAR SYSTEMS INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,8/27/2012,"No.2/6,First Floor,Near Keerthi Bekary   Nagadevanahalli,Jnanabharathi Post,Bangalore,Bangalore,Karnataka,560056-India",Unlisted,Active,karnataka,Indian,29253,Manufacturing (Machinery and Equipments)
