CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U72900TN2020PTC137188,FUTUREWILL INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1200000,400000,8/18/2020,"FLAT NO 206 WHITEFIELD GRAND   MARUTHUPANDIAR STREET CHITLAPAKKAM,CHENNAI,Kancheepuram,Tamil Nadu,600064-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC137541,INIAGAM E-RETAILER PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,8/29/2020,"S.F.NO.41/16A,NEAR VIVEKANANDA SCHOOL   THURAPALLAM BAZAR,GUMMIDIPOONDI,Thiruvallur,Tamil Nadu,601201-India",Unlisted,Strike Off,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC138742,EVINPRO TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,10/16/2020,"No825 Cowork07/C1, KRM Plaza,South Tower   8th Floor,No2,Harrington Road, Chetpet,Chennai,Chennai,Tamil Nadu,600031-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC138936,TEXIUM SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,10000,10000,10/23/2020,"No.121 Millennium town,   4th Street, Adayalampattu, Vanagaram,,Chennai,Chennai,Tamil Nadu,600095-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC139233,PARKAV INFO TECH PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,11/5/2020,"NO.9, MC ARCADE,   KARUR BYPASS ROAD,  ANNAMALAI NAGAR,,TRICHY,Tiruchirappalli,Tamil Nadu,620018-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC139378,ITHINGS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,11/11/2020,"PLOT NO.101, 15/9, NEHRU STREET   ALWARTHIRUNAGAR,CHENNAI,Chennai,Tamil Nadu,600087-India",Unlisted,Strike Off,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC139957,RADMAV INNOVATIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,12/8/2020,"4/10 BALAMUTHUKRISHNAN STREET   T NAGAR,CHENNAI,Chennai,Tamil Nadu,600017-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC140319,T-MACHINE SOFTWARE SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,500000,100000,12/23/2020,"NO 280, RING ROAD HOUSING SECTOR   MADHAVARAM,CHENNAI,Chennai,Tamil Nadu,600060-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2020PTC173975,ICEAPPLE TECHNOLOGY SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,1000,10/9/2020,"No.2/563, V-Nagar, Semmozhi Salai,,Sholinganallur Main Road,,Tambaram,Kanchipuram,Tamil Nadu,600100-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021FTC141274,ANOGAA SERVICES PRIVATE LIMITED,ROC Chennai,Company limited by shares,subsidiary of company incorporated outside India,Private,1000000,10000,2/9/2021,"PLOT NO.9, SAIRAM APARTMENTS,PRABU NAGAR   PANDIYAN SALAI, THORAIPAKKAM,CHENNAI,Kancheepuram,Tamil Nadu,600097-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021FTC144776,SHYFT IT SOLUTIONS INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,subsidiary of company incorporated outside India,Private,1500000,500000,7/15/2021,"Old No.25, New No.73, Velachery Road, Little Mount   Saidapet,Chennai,Chennai,Tamil Nadu,600015-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021OPC142168,THINKSTEIN TECHNOLOGIES (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,50000,50000,3/17/2021,"Plot No 1127,TNHB Colony,Near Aishwarya   Vinayagar,Koil,SithalapakkamKancheepuram,Chennai,Chennai,Tamil Nadu,600126-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021OPC144208,ZLIDEL SOLUTIONS (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,100000,100000,6/22/2021,"NO 594/3C THENDRAL NAGAR,,SENGOTTAI  COUTRALLAM MAIN ROAD, TENKASI,Shenkottai,Tirunelveli,Tamil Nadu,627809-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021OPC147324,SPACEPORT MEDIA TECH (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,1500000,100000,10/23/2021,"NO.1 / 9, PINJALASUBRAMANIAN STREET,   T NAGAR,,CHENNAI,Chennai,Tamil Nadu,600007-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC140895,UPMOST SOLUTION PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,1/21/2021,"5th Floor, Tower-C, Tek Meadows,   No. 51, Rajiv Gandhi Salai (OMR), Sholin,ganallur,Chennai,Chennai,Tamil Nadu,600119-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC141314,RESIBEE TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,2/10/2021,"P No 566/2, Sf No 170/2   Bharathi Nagar, Sathuvachari,Vellore,Vellore,Tamil Nadu,632009-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC141746,ZASYAONLINE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,3/2/2021,"Tower A7,Flat no.10D,No.328,   Olympia Grande Apartments,Pallavaram,Chennai,Tamil Nadu,600043-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC142181,NANGAVARAM VASUPAL TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,999990,100000,3/18/2021,"No.8 , 4th Street Venkateshwara Nagar,   Adyar,Chennai,Chennai,Tamil Nadu,600020-India",Unlisted,Strike Off,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC142200,PIXBOTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,10000,3/18/2021,"NO.69B, JONES CASSIA   OTTIYAMBAKKAM,SHOLINGANALLUR,Kancheepuram,Tamil Nadu,600130-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC142433,VANIGAM SOFTWARE SERVICES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,2500000,2020300,3/26/2021,"Flat No 1 Prithvi  Old No 4 New No 7   Seetha Nagar 2nd Street,Nungambakkam,Chennai,Tamil Nadu,600034-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC142459,KURIOZNEURONS SOLUTIONS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,3/26/2021,"C/O F ANDRO PELSE, SF MASS ZONE,   ATTOOR JUNCTION, THIRUVATTAR,PO.,KANYAKUMARI,Kanyakumari,Tamil Nadu,629177-India",Unlisted,Strike Off,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC142548,2AUTOMATEANYTHING PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,4/1/2021,"DC 14  TNPHC   NEAR SPORTS ACADAMY  MELAKOTTIYUR,CHENNAI,Chennai,Tamil Nadu,600048-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC142723,THAMILAR MEDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,4/12/2021,"10/36,RAJA STREEET ,KUMARAN STREET,   MARUTHUPANDIYAR MAIN STREET ANNA NAGAR,MADURAI,Madurai,Tamil Nadu,625020-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC143614,TREEVIBES TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,5/19/2021,"NO. 267/8C, KALATHUMEDU STREET   KOTTIVAKKAM,CHENNAI,Chennai,Tamil Nadu,600041-India",Unlisted,Active,tamil nadu,Indian,72900,Business Services
U72900TN2021PTC144113,ARYADATTA TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,6/16/2021,"A-412, IRIS COURT, MAHINDRA WORLD CITY   CHENGALAPATTU, PARANUR,,KANCHEEPURAM,Kancheepuram,Tamil Nadu,603002-India",Unlisted,Strike Off,tamil nadu,Indian,72900,Business Services
